clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,clave,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,promedio_pred,promedioxperiodo,alumnoEnRiesgoBajoRendimiento
3647,2,1,151,CENTRO,25004.0,Concordia,1,151,INGENIERIA MECANICA,Mecanica,ago-dic,2007,68.28571428571429,61.94078,76.19291292517006,Sin riesgo
3647,2,1,151,CENTRO,25004.0,Concordia,1,151,INGENIERIA MECANICA,Mecanica,ene-jun,2007,79.0,61.878017,75.87434705215416,Sin riesgo
3647,2,1,151,CENTRO,25004.0,Concordia,1,151,INGENIERIA MECANICA,Mecanica,ago-dic,2008,78.66666666666667,62.590363,76.19291292517006,Sin riesgo
3647,2,1,151,CENTRO,25004.0,Concordia,1,151,INGENIERIA MECANICA,Mecanica,ago-dic,2009,72.28571428571429,68.85677,76.19291292517006,Sin riesgo
3647,2,1,151,CENTRO,25004.0,Concordia,1,151,INGENIERIA MECANICA,Mecanica,ene-jun,2009,63.666666666666664,63.17861,75.87434705215416,Sin riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,121,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2005,80.5,68.48576,72.43682823129255,Sin riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,121,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2006,87.16666666666667,67.54728,72.43682823129255,Sin riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,121,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ene-jun,2006,72.0,64.17108,52.302820672713516,En riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,121,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2007,56.142857142857146,55.965298,72.43682823129255,Sin riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,121,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ene-jun,2007,25.833333333333332,54.064423,52.302820672713516,En riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,121,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2008,28.333333333333332,56.61488,72.43682823129255,Sin riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,121,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ene-jun,2008,55.0,53.30316,52.302820672713516,En riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,121,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,verano,2008,76.0,71.51445,78.5925,Sin riesgo
3758,6,1,121,FOVISSSTE CHAPULTEPEC,25006.0,Culiacan,1,121,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ene-jun,2009,47.857142857142854,58.79614,52.302820672713516,En riesgo
3765,6,1,117,FRACC.,25006.0,Culiacan,1,117,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2005,58.8,63.491947,50.27268613687898,En riesgo
3765,6,1,117,FRACC.,25006.0,Culiacan,1,117,INGENIERIA EN SISTEMAS COMPUTACIONALES,Sistemas,ago-dic,2006,35.0,62.553474,50.27268613687898,En riesgo
